price,rating,title
$16.46,3.6 out of 5 stars,['Life After Death: A Novel']
$16.46,4.9 out of 5 stars,"[""Dr. Seuss's Beginner Book Collection (Cat in the Hat, One Fish Two Fish, Green Eggs and Ham, Hop on Pop, Fox in Socks)""]"
$14.99,4.6 out of 5 stars,['The Four Winds: A Novel']
$13.33,4.4 out of 5 stars,['The Midnight Library: A Novel']
$13.33,4.5 out of 5 stars,['Klara and the Sun: A novel']
$13.33,4.9 out of 5 stars,"[""Dr. Seuss's Second Beginner Book Collection (Beginner Books(R))""]"
$13.33,4.9 out of 5 stars,['The Sneetches and Other Stories']
$16.20,4.4 out of 5 stars,['The Vanishing Half: A Novel']
$22.99,4.4 out of 5 stars,['Lore Olympus: Volume One']
$0.00,4.6 out of 5 stars,['Firefly Lane: A Novel']
$16.19,4.6 out of 5 stars,['The Invisible Life of Addie LaRue']
$12.79,4.6 out of 5 stars,['The Hill We Climb: An Inaugural Poem for the Country']
$11.80,4.9 out of 5 stars,['The Coldest Winter Ever: A Novel']
$11.80,4.7 out of 5 stars,['1984 (Signet Classics)']
$13.49,4.8 out of 5 stars,['A Court of Silver Flames (A Court of Thorns and Roses Book 5)']
$13.49,4.8 out of 5 stars,['Where the Crawdads Sing']
$14.99,4.8 out of 5 stars,"['Freed: Fifty Shades Freed as Told by Christian (Fifty Shades of Grey Series, 6)']"
$14.99,4.7 out of 5 stars,['The Song of Achilles: A Novel']
$14.99,4.9 out of 5 stars,['Yertle the Turtle and Other Stories']
$14.99,4.0 out of 5 stars,['The Sanatorium: A Novel']
$14.99,4.4 out of 5 stars,['The Underground Railroad: A Novel']
$12.05,4.7 out of 5 stars,['the words i wish i said: by caitlin kelly']
$0.00,4.4 out of 5 stars,['Anxious People: A Novel']
$0.00,4.7 out of 5 stars,"['The Alchemist, 25th Anniversary: A Fable About Following Your Dream']"
$14.32,4.9 out of 5 stars,"['The Boy, the Mole, the Fox and the Horse']"
$17.05,4.7 out of 5 stars,"['How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self']"
$0.00,4.9 out of 5 stars,['Beyond Order: 12 More Rules for Life']
$0.00,4.8 out of 5 stars,['Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones']
$0.00,4.6 out of 5 stars,"[""Think Again: The Power of Knowing What You Don't Know""]"
$5.77,4.8 out of 5 stars,['The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)']
$15.45,4.6 out of 5 stars,['Untamed']
$16.19,4.9 out of 5 stars,"['Winning the War in Your Mind: Change Your Thinking, Change Your Life']"
$16.68,4.9 out of 5 stars,['Believe IT: How to Go from Underestimated to Unstoppable']
$0.00,4.7 out of 5 stars,['Greenlights']
$16.75,4.8 out of 5 stars,['Keep Sharp: Build a Better Brain at Any Age']
$16.75,4.8 out of 5 stars,['The 5 Love Languages: The Secret to Love that Lasts']
$7.00,4.7 out of 5 stars,['Burn After Writing (Pink)']
$0.00,4.7 out of 5 stars,['12 Rules for Life: An Antidote to Chaos']
$16.19,4.8 out of 5 stars,"[""Forgiving What You Can't Forget: Discover How to Move On, Make Peace with Painful Memories, and Create a Life That’s Beautiful Again""]"
$8.99,4.7 out of 5 stars,['Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals)']
$8.99,4.7 out of 5 stars,['The 48 Laws of Power']
$8.99,4.8 out of 5 stars,['Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals']
$8.99,4.8 out of 5 stars,"['Your Brain Is Always Listening: Tame the Hidden Dragons That Control Your Happiness, Habits, and Hang-Ups']"
$0.00,4.6 out of 5 stars,['The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life']
$13.85,4.7 out of 5 stars,['Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.']
$13.85,4.7 out of 5 stars,['The Power of Now: A Guide to Spiritual Enlightenment']
$17.69,4.7 out of 5 stars,['Make Your Own Sunshine: Inspiring Stories of People Who Find Light in Dark Times']
$17.69,4.8 out of 5 stars,"['Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents']"
$16.80,4.5 out of 5 stars,['The Pegan Diet: 21 Practical Principles for Reclaiming Your Health in a Nutritionally Confusing World']
$10.78,4.7 out of 5 stars,['The Step-by-Step Instant Pot Cookbook: 100 Simple Recipes for Spectacular Results -- with Photographs of Every Step']
$26.96,4.8 out of 5 stars,"[""Flavcity's 5 Ingredient Meals: 50 Easy & Tasty Recipes Using the Best Ingredients from the Grocery Store (Heart Healthy Budget Cooking)""]"
$16.59,4.8 out of 5 stars,['Magnolia Table']
$16.59,4.5 out of 5 stars,"['The Complete Mediterranean Cookbook: 500 Vibrant, Kitchen-Tested Recipes for Living and Eating Well Every Day (The Complete ATK Cookbook Series)']"
$23.36,4.8 out of 5 stars,['Jew-ish: A Cookbook: Reinvented Recipes from a Modern Mensch']
$12.74,4.8 out of 5 stars,"[""From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes)""]"
$19.75,4.8 out of 5 stars,"['Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking']"
$19.75,4.4 out of 5 stars,['Air Fryer Cookbook: 600 Effortless Air Fryer Recipes for Beginners and Advanced Users']
$13.59,4.4 out of 5 stars,"['The Lighter Step-By-Step Instant Pot Cookbook: Easy Recipes for a Slimmer, Healthier You―With Photographs of Every Step']"
$13.95,4.8 out of 5 stars,"['The Unofficial Disney Parks Cookbook: From Delicious Dole Whip to Tasty Mickey Pretzels, 100 Magical Disney-Inspired Recipes (Unofficial Cookbook)']"
$18.22,3.8 out of 5 stars,['Intuitive Fasting: The Flexible Four-Week Intermittent Fasting Plan to Recharge Your Metabolism and Renew Your Health (Goop Press)']
$17.00,4.9 out of 5 stars,"['Magnolia Table, Volume 2: A Collection of Recipes for Gathering']"
$24.94,4.9 out of 5 stars,['Dessert Person: Recipes and Guidance for Baking with Confidence']
$24.94,4.4 out of 5 stars,['The Complete Anti-Inflammatory Diet for Beginners: A No-Stress Meal Plan with Easy Recipes to Heal the Immune System']
$22.76,4.8 out of 5 stars,"['Half Baked Harvest Super Simple: More Than 125 Recipes for Instant, Overnight, Meal-Prepped, and Easy Comfort Foods: A Cookbook']"
$14.67,4.7 out of 5 stars,"['The Big Book of Organic Baby Food: Baby Purées, Finger Foods, and Toddler Meals For Every Stage']"
$25.49,4.7 out of 5 stars,"[""It's Not Complicated: Simple Recipes for Every Day""]"
